year,state,bill_name,issues,label,source,status,status_detail,status_date
2021,AL,SB 10,Anti-Trans bills | Prohibiting heathcare for transgender youth,harmful,aclu,Introduced,Died,
2021,AL,HB 1,Anti-Trans bills | Prohibiting heathcare for transgender youth,harmful,aclu,Introduced,Indefinitely postponed,2021-05-06
2021,AL,SB 5,Anti-Trans bills | Prohibiting heathcare for transgender youth,harmful,aclu,Introduced,Prefiled for 2022,2022-01-11
2021,AL,HB 391,Anti-Trans bills | Excluding transgender youth from athletics,harmful,aclu,Introduced,Signed by Governor,
2021,AR,SB 347,Anti-Trans bills | Prohibiting heathcare for transgender youth,harmful,aclu,Introduced,Died in committee,2021-10-15
2021,AR,HB 1570,Anti-Trans bills | Prohibiting heathcare for transgender youth,harmful,aclu,Introduced,Signed into law,2021-04-13
2021,AR,HB 1882,Anti-Trans bills | Single-Sex Facility Restrictions,harmful,aclu,Introduced,Died,2021-10-15
2021,AR,HB 1905,Anti-Trans bills | Single-Sex Facility Restrictions,harmful,aclu,Introduced,Referred to committee,2021-04-12
2021,AR,SJR 16,Anti-Trans bills | Excluding transgender youth from athletics,harmful,aclu,Introduced,Died,2021-10-15
2021,AR,SB 354,Anti-Trans bills | Excluding transgender youth from athletics,harmful,aclu,Introduced,Signed by Governor,2021-03-29
2021,AR,SB 450,Anti-Trans bills | Excluding transgender youth from athletics,harmful,aclu,Introduced,Signed by Governor,2021-04-29
2021,AR,HB 1749,Other Anti-Trans Bills,harmful,aclu,Introduced,Died,2021-10-15
2021,AR,HJR 1024,Religious exemptions |  Religious Freedom Restoration Acts (RFRAs),harmful,aclu,Introduced,Postponed indefinitely by committee,2021-10-15
2021,AR,SJR 14,Religious exemptions |  Religious Freedom Restoration Acts (RFRAs),harmful,aclu,Introduced,Reviewed by Governor,2021-04-30
2021,AR,SB 289,Religious exemptions | Religious Exemptions in Healthcare Implicating LGBTQ People,harmful,aclu,Introduced,Signed by Governor,2021-03-29
2021,AR,SB 389,Other Anti-LGBTQ Bills,harmful,aclu,Introduced,Delivered to Governor,2021-04-01
2021,AZ,SB 1511,Anti-Trans bills | Prohibiting heathcare for transgender youth,harmful,aclu,Introduced,Read second time,2021-02-20
2021,AZ,SB 1637,Anti-Trans bills | Excluding transgender youth from athletics,harmful,aclu,Introduced,Read for the first time,2021-06-30
2021,AZ,HB 2011,Anti-Trans bills | other school or curriculum restrictions,harmful,aclu,Introduced,Prefiled,2021-12-07
2021,AZ,HB 2710,Other Anti-Trans Bills,harmful,aclu,Introduced,Died,2021-10-15
2021,AZ,SB 1163,LGBTQ Equality Bills | Allowing updated gender markers on ID,harmful,aclu,Introduced,Read second time,2021-01-19
2021,AZ,HB 2652,LGBTQ Equality Bills | Other good bills,harmful,aclu,Introduced,Read for the first time,2021-05-24
2021,FL,HB 935,Anti-Trans bills | Prohibiting heathcare for transgender youth,harmful,aclu,Introduced,Died in subcommittee,2021-04-30
2021,FL,HB 211,Anti-Trans bills | Prohibiting heathcare for transgender youth,harmful,aclu,Introduced,Prefiled for 2022; referred to committee,2021-10-06
2021,FL,HB 935,Anti-Trans bills | Excluding transgender youth from athletics,harmful,aclu,Introduced,Died in subcommittee,2021-04-30
2021,FL,HB 1475,Anti-Trans bills | Excluding transgender youth from athletics,harmful,aclu,Introduced,Died in committee,2021-04-30
2021,FL,SB 2012,Anti-Trans bills | Excluding transgender youth from athletics,harmful,aclu,Introduced,Died in committee,2021-04-30
